x,AR_4,AR_6,AR_8
-0.00169,0.098472,0.126525,0.150074
0.00047,0.097237,0.12426,0.148138
0.00263,0.095999,0.121994,0.14616
0.01126,0.09095,0.114507,0.138467
0.01449,0.088981,0.112202,0.135676
0.01557,0.088313,0.111469,0.134751
0.0242,0.082781,0.105909,0.127422
0.04038,0.072147,0.09557,0.114133
0.04146,0.071456,0.094826,0.113272
0.05117,0.065618,0.087287,0.105707
0.05656,0.062681,0.083024,0.101665
0.0598,0.060984,0.080693,0.099293
0.08137,0.050877,0.067446,0.084306
0.08569,0.04924,0.065073,0.081459
0.09,0.04774,0.062796,0.078674
0.10187,0.043482,0.057193,0.072122
0.11481,0.037064,0.051771,0.06583
0.12236,0.033625,0.048504,0.062224
0.12668,0.031917,0.046599,0.060189
0.14394,0.02619,0.038929,0.052048
0.14501,0.025874,0.038456,0.051499
0.15364,0.023504,0.0348,0.047053
0.16659,0.020465,0.030165,0.041512
0.16982,0.01978,0.029199,0.040355
0.18061,0.017532,0.02637,0.036849
0.20111,0.012943,0.02167,0.030871
0.20219,0.012728,0.021425,0.030566
0.22268,0.009998,0.017195,0.025326
0.22484,0.009801,0.01685,0.0249
0.22915,0.009423,0.016216,0.024115
0.25288,0.007523,0.013435,0.020353
0.27122,0.00615,0.011533,0.017411
0.28093,0.005503,0.010511,0.016065
0.28632,0.005177,0.009983,0.015435
0.31006,0.004048,0.008536,0.01349
0.31545,0.003859,0.008375,0.0132
0.32947,0.003474,0.008097,0.012643
0.35752,0.003083,0.007871,0.012145
0.37154,0.003028,0.007863,0.012115
0.3888,0.003061,0.007951,0.012238
0.39851,0.003122,0.008073,0.012388
0.41253,0.003257,0.008365,0.012753
0.42763,0.003454,0.008784,0.013413
0.45029,0.003834,0.009515,0.014704
0.45892,0.004002,0.009816,0.015214
0.46215,0.004068,0.009935,0.015403
0.49343,0.004783,0.011442,0.017403
0.5258,0.005692,0.013565,0.02037
0.54629,0.006366,0.014953,0.022469
0.55168,0.006557,0.015305,0.022993
0.55816,0.006793,0.015716,0.023597
0.59915,0.008417,0.01818,0.027338
0.60454,0.008642,0.018523,0.027929
0.62935,0.009692,0.02026,0.030954
0.63259,0.009829,0.0205,0.031304
0.65092,0.010607,0.021874,0.033088
0.66603,0.011262,0.022991,0.034568
0.69192,0.012484,0.025097,0.037386
0.70486,0.013169,0.026335,0.03892
0.71133,0.013534,0.026983,0.039733
0.73398,0.014898,0.029226,0.042833
0.73722,0.0151,0.029524,0.043221
0.7685,0.017072,0.032063,0.046422
0.77605,0.017539,0.032658,0.047222
0.78037,0.017803,0.033012,0.047694
0.79547,0.018707,0.034385,0.049404
0.82567,0.020493,0.037612,0.05301
0.83215,0.020883,0.038315,0.053808
0.86127,0.02271,0.041226,0.057529
0.86882,0.02321,0.041869,0.058523
0.87422,0.023574,0.042305,0.059234
0.89795,0.025235,0.044192,0.062359
0.91736,0.02665,0.045956,0.064918
0.93462,0.027939,0.047675,0.067186
0.94757,0.02892,0.049007,0.068794
0.96051,0.029911,0.05037,0.070276
0.97022,0.030656,0.051419,0.071381
0.97561,0.031071,0.052017,0.072022
0.99611,0.032662,0.054389,0.074834
0.99719,0.032747,0.054516,0.074994
