x,cl vs thickness ratio
0.000616,6.2894
0.004461,6.30854
0.00848,6.32767
0.012325,6.34681
0.016344,6.36594
0.024382,6.4042
0.028227,6.42334
0.032246,6.44247
0.036092,6.46336
0.040461,6.48598
0.044304,6.50162
0.048323,6.52075
0.052341,6.53813
0.056186,6.55726
0.065448,6.60249
0.069293,6.62163
0.073312,6.64076
0.077158,6.66165
0.080478,6.6773
0.084323,6.69644
0.088342,6.71557
0.092186,6.73471
0.096206,6.75384
0.106691,6.80603
0.110536,6.82517
0.114555,6.8443
0.1184,6.86344
0.120497,6.87388
0.124516,6.89301
0.128361,6.91215
0.132379,6.92953
0.136224,6.94866
0.140593,6.96953
0.148108,7.00781
0.152127,7.02695
0.155972,7.04608
0.159817,7.06522
0.160515,7.06695
0.164534,7.08608
0.168378,7.10347
0.172397,7.1226
0.176241,7.14173
0.180439,7.16787
0.184105,7.18
0.189348,7.2061
0.193367,7.22523
0.197212,7.24437
