x,0_2_1,0_1_2,0_3_0
-0.854,0.001254,0.001571,0.001408
-0.73,0.001291,0.00156,0.001444
-0.362,0.001404,0.001527,0.001552
1.726,0.002121,0.00137,0.002213
3.937,0.002915,0.001341,0.002995
5.036,0.003298,0.001427,0.003394
8.605,0.00443,0.002234,0.004712
10.685,0.005001,0.002839,0.005493
14.013,0.006155,0.003747,0.006774
16.101,0.007343,0.004434,0.007744
17.073,0.008087,0.004852,0.008557
18.442,0.009325,0.005667,0.010067
21.257,0.012429,0.00815,0.013215
22.505,0.013985,0.009253,0.014612
26.204,0.018815,0.012993,0.018838
26.429,0.019103,0.013277,0.019106
26.697,0.019444,0.013629,0.01943
29.909,0.023511,0.018716,0.025234
31.49,0.025597,0.021493,0.028801
33.109,0.027937,0.024271,0.032417
36.218,0.034021,0.029911,0.039285
36.94,0.035256,0.031331,0.040852
37.049,0.035435,0.03155,0.041087
43.018,0.044401,0.044225,0.053325
45.087,0.047421,0.048648,0.057514
46.933,0.050148,0.052492,0.06125
52.379,0.058466,0.062985,0.072246
55.446,0.062914,0.068117,0.078409
58.18,0.066535,0.07211,0.083867
59.706,0.068485,0.074125,0.08689
63.83,0.073831,0.079741,0.094765
64.839,0.075308,0.081215,0.096524
67.24,0.079439,0.084833,0.100295
67.904,0.080527,0.085848,0.1013
74.688,0.090246,0.09633,0.111604
75.944,0.092009,0.098242,0.113515
76.248,0.092437,0.098697,0.113976
79.89,0.09764,0.103398,0.119513
80.239,0.098143,0.10367,0.120043
