x,0_2_1,0_3_0,0_1_2
-0.37,-0.01944,-0.0225,-0.00087
-0.119,-0.00405,-0.003,0.01371
-0.034,0.00121,0.00366,0.01869
0.824,0.05381,0.07052,0.06868
2.54,0.15901,0.20403,0.16865
3.831,0.24529,0.304,0.24379
5.298,0.35683,0.41705,0.32925
7.705,0.51464,0.60001,0.46935
7.999,0.53334,0.62207,0.48645
10.45,0.68086,0.80266,0.62898
13.957,0.86808,1.04438,0.83249
14.201,0.88123,1.05979,0.84661
17.456,1.04045,1.21429,1.03423
17.458,1.04055,1.21437,1.03438
17.868,1.05733,1.22803,1.05776
20.272,1.14858,1.30451,1.16884
22.895,1.23814,1.38113,1.26392
23.291,1.25051,1.39191,1.27913
24.605,1.28763,1.42573,1.3286
26.025,1.32005,1.4587,1.37931
28.443,1.37271,1.50526,1.45924
28.643,1.37672,1.5085,1.4655
29.95,1.40104,1.52751,1.50513
31.847,1.43334,1.55093,1.55763
32.903,1.4509,1.56388,1.58343
33.925,1.46729,1.57706,1.60593
36.058,1.4983,1.60418,1.64722
38.31,1.52612,1.62888,1.68562
38.959,1.5337,1.635,1.69612
41.106,1.55898,1.65217,1.72856
43.781,1.59233,1.66875,1.76101
45.395,1.60918,1.67679,1.7737
47.351,1.62045,1.68487,1.78275
49.066,1.62701,1.69057,1.78796
49.253,1.62782,1.69111,1.7885
54.789,1.65475,1.70069,1.80012
54.847,1.65497,1.70072,1.80012
55.645,1.65786,1.70103,1.7994
58.609,1.66659,1.6999,1.78506
61.327,1.67316,1.69642,1.76756
62.283,1.67555,1.69489,1.76157
62.758,1.67689,1.69411,1.7586
63.422,1.67931,1.69303,1.75443
