x,0.4 lambda,0.6 lambda
2.3816,-0.40474,-0.40219
2.9331,-0.40566,-0.40454
3.7083,-0.40667,-0.40772
3.9913,-0.40642,-0.40883
4.3788,-0.40586,-0.41035
4.5732,-0.40569,-0.41111
4.8557,-0.40565,-0.41192
5.3178,-0.40592,-0.41279
5.5722,-0.40612,-0.41439
5.8392,-0.40628,-0.41573
6.3759,-0.40647,-0.41597
6.3922,-0.40647,-0.41601
6.7931,-0.40659,-0.41818
7.1228,-0.40678,-0.41801
7.3896,-0.40703,-0.41776
7.7639,-0.40706,-0.4187
7.9261,-0.40668,-0.41935
8.2262,-0.4059,-0.42012
8.4479,-0.40625,-0.42025
8.6734,-0.40677,-0.42012
9.0443,-0.40647,-0.41983
9.1506,-0.4063,-0.41985
9.4618,-0.40597,-0.42001
9.6726,-0.40585,-0.41975
9.9539,-0.40587,-0.41954
10.1049,-0.40603,-0.41972
10.5204,-0.40664,-0.42047
10.895,-0.40705,-0.42062
11.236,-0.40727,-0.42078
11.9536,-0.40751,-0.42175
12.0261,-0.40753,-0.4218
12.6394,-0.4078,-0.42141
12.6822,-0.40784,-0.4214
13.3381,-0.40821,-0.42236
13.5042,-0.40818,-0.42283
13.9516,-0.40701,-0.42392
14.0387,-0.40684,-0.42402
14.6948,-0.40665,-0.42362
14.7121,-0.40666,-0.42361
15.3658,-0.40759,-0.42324
15.5619,-0.40771,-0.42278
15.9922,-0.40702,-0.42215
16.2032,-0.40663,-0.42332
16.4094,-0.40655,-0.42436
16.8741,-0.40691,-0.42335
16.9463,-0.40697,-0.42324
17.3338,-0.40715,-0.42476
17.4555,-0.40717,-0.425
17.8879,-0.40735,-0.42511
17.9898,-0.40753,-0.42505
18.3029,-0.40812,-0.42518
18.4246,-0.40826,-0.42598
18.6604,-0.40837,-0.42737
19.0508,-0.40853,-0.42758
19.063,-0.40855,-0.42754
19.3315,-0.40929,-0.4263
19.3638,-0.40935,-0.42622
19.5129,-0.40873,-0.42617
19.5875,-0.40876,-0.42628
19.6446,-0.40882,-0.42644
19.7217,-0.40882,-0.42673
19.841,-0.40887,-0.42737
19.9277,-0.40931,-0.42792
19.975,-0.40961,-0.42822
